latitude,longitude
39.0915044,-77.2042947
39.2381751537323,-77.2786125540733
39.0156459,-77.3779179
39.0876884,-76.7117615
39.09076071632,-76.777066273148
39.2662294,-76.9871835
39.2256265,-76.9000407
39.274944,-76.71788
39.2676084,-76.7979798
39.2716217,-76.7318573
39.267505645752,-76.7954025268555
39.267193,-76.79586
39.272373,-76.727973
39.286392,-76.763306
39.2670403,-76.7986603
39.2674102783203,-76.7989730834961
39.3636026233435,-77.1625761687756
38.9580570940168,-77.3731159711657
38.9693183898926,-77.3785629272461
38.9581743638621,-77.3610211910461
38.9670982,-77.3694229
38.957717376025,-77.35871821487801
38.958370073875,-77.359285937248
38.967591,-77.396372
38.9261069204774,-77.3755545785263
38.9585049387021,-77.3571746589603
38.9688479,-77.3407674
38.9578767016308,-77.3606221916304
38.958298116083,-77.358505746503
38.933,-77.26579
38.90929,-77.25661
38.919979,-77.220434
38.91592,-77.22541
38.90929,-77.25661
38.9205436706543,-77.22705078125
38.9192043,-77.2194736
38.9043045,-77.2615433
38.9972648620605,-77.2903594970703
38.918952,-77.218848
38.9051245898008,-77.2665419429541
38.9019699,-77.2055206
38.9227443818258,-77.2225484312134
38.9021683,-77.2648315
38.9203422,-77.2324875
38.931227765559,-77.236531412795
38.9240646362305,-77.2255325317383
38.9120739,-77.222292
38.9205436706543,-77.22705078125
38.918876,-77.2190193
38.915562699845,-77.22723697878
38.9287433,-77.245275
38.9155443012714,-77.2362175583839
38.9347,-77.18132
38.90554,-77.063179
38.9179353545148,-77.0232343669398
38.9049770854945,-77.0656167460327
38.914548127161,-76.9816012969641
38.9590271255147,-76.868054090192
38.9890611,-76.8203651
38.9552383422852,-76.8117294311523
38.9937324523926,-76.8789215087891
38.997379,-76.894501
38.9553184509277,-76.8245162963867
38.9043299853802,-76.8473166972399
38.9427681,-76.717041
38.9457499,-76.73468
38.94526,-76.71918
38.9450187683105,-76.7338104248047
38.9457817,-76.7182922
39.0503844,-77.1177115
39.0765443189091,-77.0003357798471
39.0405464172363,-77.0508651733398
39.0616870014571,-77.0512178328613
39.0416658,-77.0506131
39.0927706113643,-77.0461527311136
39.0463135181166,-77.0996062427366
39.0216941833496,-77.0128631591797
39.0415936,-77.0479727
39.005487,-77.021982
39.0341257,-76.908193
39.002736,-76.931274
39.038639,-76.901334
39.022102233974,-76.925261264685
39.0638127923012,-76.839227154851
39.076998939667,-76.868879293894
39.0902473,-76.8588127
39.141923812946,-77.217087596024
39.1788536233297,-77.2710050241589
39.1556167602539,-77.208854675293
39.1417067,-77.2213544
39.11406,-77.20562
39.1492195,-77.213028
39.1144333243704,-77.2053672367706
39.183117,-77.261787
39.1449881749033,-77.1439790748689
39.120671,-77.178072
39.1180825,-77.1834542
39.1209144,-77.1791306
39.1161925125925,-77.1972899883986
39.1692785918713,-77.1544940024614
39.1097443139559,-77.0767538637936
39.1519822,-77.0621004
39.1528126583721,-77.0679812094863
39.144088,-77.042724
39.1481289412332,-76.9059175163652
39.1481971740723,-76.9071044921875
39.1096234,-76.9971983
39.1070472611118,-76.8506599481966
39.190982,-76.8181664
39.1857795715332,-76.8248901367188
39.186483,-76.8438852
39.1985168352648,-76.8198442088006
39.135902,-76.825826
39.176788,-76.846435
39.1883399,-76.81892
39.1470229625702,-76.8998973816633
39.1692724448648,-76.8652742646049
39.19045,-76.81525
39.1008682250977,-76.817008972168
39.1522960634841,-76.7439656787029
39.1861162,-76.7567717
39.1842439770699,-76.7951940000057
39.154353202564,-76.719811507758
39.156364436649,-76.727692336164
39.154404,-76.729034
39.1837149113417,-76.7948667705059
39.1602560112487,-76.7241278724749
39.23549,-76.8736
39.2100818580688,-76.8001058480696
39.226604,-76.815216
39.2163291,-76.8602017
39.2156245,-76.8616784
39.277651,-76.859453
39.2268105,-76.8180466
39.209285736084,-76.8623886108398
39.2778587341309,-76.8590774536133
39.267814226209,-76.800026186717
39.2122612,-76.8586884
39.2162952945724,-76.8627870082855
39.3996857106686,-76.9349129498005
39.365421295166,-76.9689712524414
39.3306012,-76.8703261
39.3084255605936,-76.8892925977707
39.32253,-76.72484
39.303919,-76.714271
39.3128929138184,-76.7413864135742
