latitude,longitude
39.1877791,-76.7946508
38.998054,-76.926592
39.3317565917969,-76.630973815918
39.0975764393806,-76.8062701821327
38.9061584,-77.2572327
39.1153259277344,-77.2067337036133
38.894588118849,-77.001290317836
38.8181089,-77.1420558
39.4267294,-77.4177914
38.9351119995117,-77.0577239990234
38.87883,-77.0054779
38.9043526,-77.2036932
38.9178009,-77.0963669
39.0753100652538,-77.136812210083
38.91177,-77.03885
38.9335899,-77.0847702
38.931282043457,-77.1794815063477
39.0341257,-76.908193
38.9167327880859,-77.041145324707
38.9346008,-77.0245972
39.188010417944,-77.185006913674
39.0584693,-77.1189424
38.9039001,-77.053154
38.943473815918,-77.062614440918
39.0571265803462,-77.1224753642558
38.945182800293,-77.0636367797852
39.2796898,-76.8672409
38.9093505376333,-77.0454954312439
38.9218597412109,-77.0728607177734
38.9486,-77.079829
38.929248165327,-77.032518432231
38.9906158,-76.9338455
38.978319,-77.090442
38.96449,-77.07583
38.9243774414062,-77.0515213012695
38.8962631,-77.0206451
39.0980109,-77.193467
38.9826303720474,-77.0970793068409
39.0201416,-77.3739929
39.0546837,-77.1175995
